distance_km,hour_of_day,day_of_week,month,priority,speed_kmh
2.93,15,2,3,Express,14.38
1.117,7,3,3,Express,18.47
2.74,0,2,4,Standard,12.15
2.325,23,5,3,Standard,19.56
4.521,12,5,4,Standard,11.33
2.688,6,0,2,Standard,28.72
1.521,18,4,1,Express,15.32
5.001,20,2,6,Standard,19.72
2.323,23,4,3,Express,15.32
11.569,19,4,1,Standard,24.4
5.745,9,1,6,Express,22.0
6.778,22,0,2,Express,22.17
1.643,2,0,5,Standard,20.33
5.293,11,6,3,Standard,14.51
8.743,12,3,5,Standard,10.42
4.815,8,0,3,Standard,8.02
0.609,13,3,4,Express,23.66
2.158,17,2,6,Standard,8.46
2.978,10,5,6,Standard,10.21
10.488,1,4,1,Standard,27.85
6.309,14,5,1,Standard,16.71
0.89,7,0,2,Standard,12.66
4.523,19,0,5,Standard,20.38
0.903,0,6,6,Standard,12.32
1.846,19,2,1,Standard,13.45
1.097,9,5,2,Express,11.11
5.558,8,5,4,Standard,16.5
1.033,8,3,4,Standard,21.87
2.83,16,3,2,Standard,14.05
20.24,23,0,6,Express,47.67
13.772,8,2,1,Express,23.02
3.133,8,1,1,Standard,10.61
9.262,14,1,6,Express,18.93
0.682,8,4,4,Standard,11.92
10.924,0,2,3,Standard,14.68
9.282,23,3,5,Standard,14.45
20.645,15,3,6,Standard,12.13
0.714,13,1,4,Express,6.78
1.682,14,6,3,Standard,14.15
3.468,3,6,2,Standard,23.92
2.542,19,4,4,Standard,9.69
1.113,14,2,5,Standard,8.02
7.897,10,2,2,Standard,28.83
1.007,9,3,6,Express,8.36
5.204,10,6,4,Standard,21.99
1.526,12,3,5,Standard,4.2
0.756,18,2,5,Standard,7.44
0.857,9,0,5,Express,3.38
1.976,21,5,5,Standard,18.62
2.246,18,3,4,Standard,13.97
2.276,21,4,3,Standard,13.86
1.217,17,4,3,Standard,27.91
5.894,23,4,6,Standard,12.78
13.034,1,6,3,Standard,19.68
0.849,9,4,2,Standard,4.92
1.655,13,3,5,Standard,10.17
3.617,21,2,1,Standard,20.32
8.033,16,4,2,Standard,17.95
3.814,14,1,6,Standard,11.37
9.157,14,2,4,Standard,20.75
8.635,0,3,6,Express,34.39
1.734,0,6,2,Standard,12.2
0.9,23,0,5,Express,12.19
1.151,11,0,6,Standard,17.27
1.601,23,3,5,Standard,14.09
3.082,2,5,1,Standard,17.04
1.037,13,3,3,Standard,14.47
1.839,15,1,2,Standard,14.14
1.151,14,5,2,Standard,19.54
0.793,8,4,5,Express,9.69
1.42,13,0,3,Express,26.12
1.465,8,1,2,Standard,8.15
0.532,17,1,5,Express,15.37
1.401,10,1,2,Standard,8.91
6.9,21,4,4,Standard,12.66
13.744,23,3,3,Express,45.0
1.601,22,6,2,Standard,14.77
4.333,0,6,1,Express,19.73
1.085,11,4,5,Express,4.86
1.854,13,1,6,Express,5.43
1.724,16,6,5,Express,40.33
0.497,11,3,2,Express,9.13
1.134,14,1,3,Standard,15.41
3.865,14,5,4,Standard,15.5
1.303,10,3,4,Express,9.03
3.244,23,4,2,Standard,9.9
6.572,12,1,6,Standard,10.66
3.048,18,6,1,Standard,8.52
5.027,4,5,3,Express,22.09
0.847,5,2,3,Express,18.19
2.667,16,2,3,Express,14.71
5.73,22,4,3,Standard,19.95
2.579,9,1,3,Express,14.65
9.312,22,4,6,Standard,34.17
3.951,21,5,4,Standard,10.44
0.898,6,1,3,Standard,30.79
1.715,7,1,4,Standard,11.01
0.952,15,5,5,Express,28.64
1.515,12,6,3,Standard,30.3
1.662,23,2,5,Standard,14.45
3.359,23,5,5,Express,23.31
6.726,0,6,6,Standard,14.45
2.639,11,1,1,Standard,5.65
1.746,10,1,3,Express,15.69
1.213,23,0,4,Standard,13.28
2.774,4,0,1,Standard,13.68
2.477,17,6,4,Standard,14.04
0.843,21,0,6,Standard,10.95
2.578,17,1,2,Standard,8.28
0.727,16,2,3,Standard,8.49
1.81,20,4,1,Standard,11.93
0.973,18,1,4,Standard,6.39
2.603,22,3,3,Standard,17.52
0.925,8,6,4,Standard,25.42
3.477,16,6,1,Standard,8.58
8.041,21,1,2,Standard,30.0
1.589,5,6,1,Standard,18.05
0.468,18,2,5,Standard,2.09
2.635,10,1,3,Standard,10.42
1.977,9,1,1,Standard,5.42
1.735,23,6,6,Standard,13.61
2.826,12,6,2,Express,21.97
2.604,7,6,1,Standard,14.25
1.453,20,5,1,Standard,11.28
3.846,13,0,3,Standard,19.98
2.042,16,2,5,Express,7.05
2.344,10,4,3,Standard,14.01
2.151,21,0,1,Standard,12.93
3.21,8,3,1,Standard,8.5
3.827,4,3,3,Standard,21.46
2.721,13,5,6,Standard,13.6
0.414,13,4,1,Standard,13.2
1.399,17,4,3,Express,15.07
1.598,4,3,5,Standard,10.09
2.597,13,1,6,Standard,14.72
3.484,1,5,3,Standard,10.37
1.325,17,1,1,Standard,12.89
8.979,21,6,4,Standard,21.48
3.5,9,6,1,Express,38.3
0.867,8,0,3,Standard,12.2
3.071,22,1,5,Express,16.83
3.401,15,2,4,Express,12.35
0.868,13,3,2,Standard,7.26
2.856,9,1,2,Standard,6.27
2.193,14,3,3,Standard,11.49
4.544,15,1,3,Express,16.53
1.909,21,5,2,Standard,5.35
3.329,22,1,4,Standard,15.41
1.233,10,5,5,Standard,20.09
1.656,18,4,1,Standard,6.0
3.324,0,6,6,Standard,13.98
0.594,19,2,5,Express,5.49
1.111,18,0,3,Standard,14.87
19.224,11,4,5,Standard,29.74
3.456,11,3,3,Express,19.31
16.774,21,6,2,Standard,32.73
0.938,22,5,1,Standard,5.01
3.371,23,2,5,Standard,18.28
8.937,12,2,3,Standard,20.13
10.876,17,2,4,Standard,15.89
1.104,18,1,5,Standard,11.01
7.865,2,1,3,Express,31.06
14.435,14,6,6,Standard,31.08
3.839,8,4,2,Standard,21.1
1.697,14,6,4,Express,7.92
4.031,7,3,4,Standard,21.66
1.3,17,5,3,Express,25.28
1.007,8,6,3,Standard,17.35
9.52,20,3,5,Express,20.82
7.882,14,3,2,Standard,18.93
10.505,14,3,2,Standard,12.75
1.458,19,4,2,Standard,6.15
1.875,7,3,1,Standard,7.98
4.167,10,5,3,Express,28.37
1.218,7,5,6,Standard,26.42
5.096,7,5,4,Express,29.12
0.675,19,5,6,Standard,11.68
0.846,9,0,6,Standard,16.91
9.743,19,6,4,Standard,24.19
1.235,14,5,4,Express,16.19
2.946,19,2,5,Standard,9.0
1.62,19,6,5,Standard,6.88
2.419,9,1,5,Express,20.26
3.408,20,2,6,Standard,12.02
4.459,1,5,5,Express,14.1
1.071,19,4,6,Standard,7.71
1.068,22,4,2,Standard,15.82
1.207,16,5,4,Express,13.17
1.2,19,5,5,Standard,8.61
8.72,18,3,3,Standard,16.14
0.778,13,4,1,Standard,6.0
3.064,0,5,4,Standard,17.05
2.263,16,0,4,Express,25.84
2.338,13,2,6,Standard,3.53
5.08,15,1,5,Standard,10.09
5.027,13,5,4,Express,10.1
3.16,20,0,5,Standard,18.83
1.974,13,3,5,Standard,7.31
3.564,9,6,4,Standard,17.15
1.364,15,5,5,Standard,9.86
4.078,19,5,1,Standard,11.07
1.442,18,4,4,Express,18.94
3.067,23,3,2,Standard,19.07
4.209,11,3,5,Standard,8.28
7.726,23,0,2,Standard,17.06
2.589,14,5,3,Standard,13.16
1.054,15,4,1,Standard,12.24
3.564,13,6,1,Standard,17.72
3.011,8,4,3,Standard,11.58
4.717,17,6,1,Standard,33.11
1.415,10,2,4,Express,10.54
10.208,20,3,3,Standard,21.34
1.453,7,0,5,Standard,12.08
0.774,21,1,3,Standard,16.01
3.787,23,6,1,Standard,18.7
1.005,21,2,1,Standard,18.36
1.886,20,4,4,Standard,8.61
0.843,10,0,2,Standard,10.53
1.592,12,4,2,Standard,6.38
3.647,18,2,2,Standard,10.32
3.472,19,0,2,Standard,11.16
0.603,11,1,6,Standard,10.69
1.993,1,5,2,Express,19.16
5.662,3,5,1,Standard,17.66
1.438,10,5,6,Standard,9.32
0.967,15,5,1,Standard,10.36
2.277,9,3,1,Standard,15.95
1.638,8,3,1,Standard,10.17
1.249,11,1,2,Standard,8.56
5.282,2,4,1,Standard,17.36
1.096,18,4,6,Standard,15.0
21.017,0,4,6,Standard,40.92
1.682,2,5,3,Express,11.61
2.071,2,5,2,Express,17.25
1.985,22,0,5,Standard,9.38
1.018,22,2,2,Standard,10.84
2.387,9,3,2,Express,25.6
1.403,17,4,3,Standard,13.76
12.264,2,5,6,Standard,31.38
3.459,23,1,3,Standard,20.65
1.528,9,1,5,Standard,6.08
0.778,12,6,5,Standard,9.18
0.707,9,0,5,Standard,3.61
0.955,10,5,4,Express,17.21
0.743,23,2,1,Standard,9.72
0.762,11,0,4,Express,3.69
2.995,17,5,4,Standard,5.54
1.747,21,4,5,Standard,17.67
11.986,22,0,5,Standard,28.31
1.163,17,0,5,Standard,8.99
1.583,14,1,3,Standard,4.56
3.383,10,3,6,Standard,7.57
1.563,11,2,6,Standard,3.25
2.227,11,2,3,Express,6.46
1.114,22,5,4,Express,36.16
0.831,19,4,6,Express,10.53
2.948,19,5,4,Standard,10.56
2.039,20,4,1,Standard,11.82
1.473,0,5,4,Standard,10.52
1.558,8,6,1,Standard,18.39
1.736,2,4,6,Standard,14.74
1.191,0,3,3,Standard,26.14
3.958,18,2,4,Standard,9.9
1.516,18,6,6,Express,27.35
1.674,12,3,1,Standard,10.34
2.526,10,2,3,Standard,8.29
4.226,19,1,6,Standard,13.41
4.111,17,5,1,Standard,16.46
0.72,14,1,5,Standard,17.52
1.997,18,1,1,Express,19.55
1.798,11,1,4,Standard,6.03
1.954,20,6,2,Express,16.85
1.723,12,2,3,Standard,7.27
1.15,19,5,5,Standard,8.52
0.838,17,2,1,Express,13.0
1.79,11,6,4,Standard,10.5
10.112,9,1,2,Standard,14.64
3.467,8,3,5,Express,12.94
4.532,15,0,2,Standard,21.44
2.097,13,6,2,Standard,12.93
3.534,22,5,3,Express,12.31
1.351,23,5,1,Express,9.56
9.077,15,5,6,Standard,17.8
8.084,4,6,2,Standard,27.9
3.013,21,5,3,Standard,18.02
2.509,18,3,1,Standard,16.6
1.784,6,5,4,Standard,21.55
12.971,20,2,5,Standard,42.96
20.921,8,3,5,Standard,22.54
0.524,0,2,6,Express,20.73
0.446,13,3,3,Standard,5.34
6.687,22,2,6,Standard,15.43
1.093,19,4,3,Standard,9.64
1.679,16,5,1,Standard,5.86
1.326,0,5,2,Express,26.84
7.383,4,5,3,Express,25.7
2.204,8,4,4,Standard,17.18
1.821,12,4,3,Standard,6.27
1.722,1,6,6,Express,16.57
0.971,15,3,4,Standard,13.29
7.407,6,4,1,Standard,27.13
1.268,23,4,5,Standard,7.71
2.542,10,2,2,Standard,17.27
2.378,7,3,4,Standard,18.45
1.402,2,2,4,Standard,12.22
1.227,21,2,1,Standard,17.6
0.907,9,0,2,Standard,21.63
3.05,13,1,5,Standard,12.41
1.674,7,0,1,Standard,9.76
2.785,8,4,2,Standard,8.58
2.67,12,1,2,Standard,13.35
8.646,1,3,1,Express,27.22
1.117,13,3,3,Standard,5.26
1.893,23,2,6,Standard,14.72
0.492,0,6,5,Standard,7.38
10.148,20,0,5,Standard,41.56
1.099,10,1,3,Express,12.51
3.032,0,0,3,Standard,19.6
1.067,13,5,4,Express,8.35
6.393,12,4,4,Standard,10.39
1.699,20,1,6,Standard,12.82
5.81,18,4,5,Standard,9.83
0.781,22,1,1,Standard,21.96
9.468,10,2,1,Standard,7.51
9.743,16,4,5,Express,11.38
3.912,22,0,6,Standard,9.29
1.999,15,1,2,Standard,8.37
1.317,20,4,4,Standard,12.06
1.276,17,3,4,Standard,13.09
1.332,23,4,2,Standard,13.74
2.266,19,3,3,Standard,9.42
1.543,15,5,3,Standard,12.03
1.687,17,2,5,Standard,9.31
4.452,20,1,3,Standard,20.65
9.421,9,3,4,Express,16.12
2.278,23,5,1,Standard,15.53
5.66,0,1,3,Standard,28.7
1.077,20,1,2,Express,12.5
1.711,9,4,2,Standard,5.98
4.018,17,1,2,Standard,13.21
4.563,16,6,5,Standard,11.31
11.769,2,6,5,Express,38.91
2.16,19,4,2,Standard,15.37
1.248,15,2,6,Standard,10.4
0.601,11,6,5,Express,12.92
3.809,8,3,6,Standard,10.02
1.48,21,0,5,Standard,9.25
5.899,21,5,5,Standard,20.17
5.795,18,0,6,Standard,12.41
8.437,21,3,4,Express,17.2
4.545,10,2,3,Standard,10.71
0.674,18,0,2,Standard,6.04
0.992,10,6,6,Standard,12.45
3.303,16,5,3,Standard,7.82
1.964,21,4,1,Express,10.02
8.47,1,6,4,Express,30.97
8.303,0,3,1,Standard,50.15
21.276,21,6,2,Express,26.42
1.024,8,3,3,Express,8.23
0.394,19,4,3,Standard,12.45
2.024,18,5,4,Standard,6.42
1.443,17,1,4,Standard,6.74
3.016,22,5,1,Express,14.55
1.904,18,4,4,Standard,13.01
1.444,15,2,5,Standard,14.85
2.781,18,1,5,Standard,11.57
2.218,19,6,6,Standard,9.11
1.439,7,1,1,Standard,12.19
1.101,8,1,1,Standard,8.31
1.668,16,3,1,Standard,14.33
1.204,20,1,2,Express,9.68
2.668,18,2,3,Standard,10.95
1.726,17,5,4,Standard,16.65
9.563,19,3,5,Standard,14.74
9.959,12,3,4,Express,17.79
0.934,8,1,2,Standard,10.01
2.844,12,1,5,Standard,13.63
0.793,13,4,6,Standard,5.69
0.852,7,4,5,Standard,12.79
1.033,18,2,2,Standard,9.11
9.613,23,2,5,Standard,7.44
2.809,22,2,6,Express,18.93
3.079,8,4,5,Standard,5.95
0.655,9,0,2,Standard,11.91
21.983,17,4,2,Express,23.46
2.059,14,3,5,Standard,4.24
4.405,13,0,1,Standard,12.85
2.571,12,2,6,Express,6.87
1.143,15,4,4,Standard,16.53
2.99,19,1,4,Express,16.77
4.762,14,5,1,Standard,22.44
6.337,2,6,4,Standard,14.47
1.543,11,1,3,Standard,9.08
3.854,7,4,4,Standard,15.23
8.931,1,6,6,Standard,35.84
0.773,11,2,6,Express,10.1
8.893,9,4,1,Standard,44.04
0.792,15,1,6,Standard,9.2
1.575,5,0,3,Standard,12.86
2.989,16,6,1,Standard,20.04
2.343,20,2,6,Express,17.81
1.862,9,5,5,Standard,14.39
1.574,13,2,2,Standard,6.39
4.351,22,5,4,Standard,15.28
2.081,22,6,5,Standard,16.68
1.497,14,5,3,Express,17.86
1.337,17,0,1,Standard,5.14
0.766,9,6,4,Standard,12.64
1.394,16,5,5,Standard,14.34
1.014,16,5,2,Standard,6.51
1.694,15,4,3,Express,7.68
8.232,13,1,3,Standard,18.42
2.031,15,0,6,Standard,7.7
2.577,17,2,1,Standard,9.2
2.981,15,5,2,Standard,12.76
4.563,12,1,1,Standard,13.9
3.673,15,3,3,Standard,13.16
2.899,17,3,2,Standard,9.97
2.745,22,2,5,Standard,13.63
1.141,21,0,6,Express,7.56
2.434,1,5,1,Standard,19.13
1.334,13,1,5,Express,7.87
1.438,6,3,5,Standard,33.85
0.737,2,0,6,Standard,19.37
2.269,8,1,1,Standard,10.61
3.297,15,4,2,Express,7.84
0.806,21,1,6,Standard,11.9
0.505,17,0,2,Standard,7.7
1.577,10,0,4,Standard,10.98
1.39,17,5,5,Standard,24.77
3.665,22,0,2,Standard,19.01
0.423,15,0,4,Standard,3.85
3.082,23,3,6,Express,19.29
4.439,6,1,2,Standard,19.85
2.296,3,6,6,Standard,12.3
10.209,11,1,4,Standard,25.92
3.33,19,3,5,Standard,11.06
4.386,21,2,4,Standard,20.97
4.494,3,5,1,Standard,15.89
1.245,18,1,2,Standard,7.97
9.855,12,6,2,Standard,20.95
2.083,13,5,4,Standard,10.27
3.191,16,1,4,Standard,14.29
7.042,20,3,3,Express,34.01
7.135,3,1,3,Standard,25.23
6.106,21,4,1,Standard,24.34
1.039,15,6,6,Express,4.52
5.579,2,6,2,Standard,19.09
20.609,0,2,1,Express,48.23
2.268,11,3,4,Standard,9.16
0.62,19,0,2,Express,10.15
1.146,22,5,5,Standard,4.34
5.376,17,6,4,Express,18.13
1.272,17,2,6,Standard,9.58
1.579,18,5,3,Standard,9.83
1.868,13,3,1,Standard,8.41
3.272,10,5,3,Standard,25.06
5.265,10,2,4,Standard,6.93
3.39,18,4,4,Express,11.38
2.999,8,6,3,Express,27.15
1.303,14,2,6,Standard,12.67
9.396,18,1,4,Standard,19.23
4.83,2,5,1,Standard,11.96
17.602,17,2,3,Express,26.79
1.845,8,1,3,Standard,5.02
7.291,9,0,2,Standard,26.87
1.114,2,5,6,Express,16.36
1.534,11,1,4,Standard,9.1
1.63,6,0,2,Standard,21.97
1.447,18,1,2,Standard,14.8
0.91,8,5,6,Standard,17.43
0.689,10,4,5,Standard,4.76
3.04,11,2,5,Standard,7.22
3.032,10,6,4,Express,15.17
5.755,16,1,5,Express,13.87
6.453,2,6,4,Standard,33.96
2.564,16,3,1,Standard,5.72
1.747,21,5,3,Standard,12.84
1.602,14,5,2,Standard,8.8
3.929,20,0,4,Standard,15.59
6.625,21,5,5,Standard,16.32
2.215,14,1,2,Standard,10.04
6.0,19,3,2,Express,13.65
1.266,10,5,5,Standard,24.12
0.662,11,5,4,Express,12.4
13.124,10,6,3,Express,52.91
1.27,5,1,6,Standard,8.06
1.536,12,2,3,Standard,9.68
1.232,23,2,2,Standard,15.14
0.826,18,0,2,Standard,7.34
2.011,6,2,3,Standard,11.79
0.876,16,2,1,Express,18.94
1.715,8,3,1,Standard,11.92
4.139,7,2,3,Standard,29.1
20.524,21,6,5,Standard,20.41
1.208,16,5,4,Standard,8.74
1.588,21,4,4,Standard,8.18
1.199,13,3,1,Standard,8.48
1.425,7,4,1,Standard,22.21
18.299,1,6,4,Standard,35.65
1.807,16,1,4,Standard,18.38
0.766,12,3,3,Express,9.56
5.404,11,3,3,Standard,15.7
9.795,13,2,3,Standard,17.12
3.678,18,0,2,Standard,14.08
2.529,13,4,1,Standard,18.25
0.808,22,4,3,Standard,27.7
2.56,18,0,2,Express,17.63
1.449,2,5,6,Standard,7.1
2.588,20,0,1,Standard,14.01
1.301,20,3,3,Express,13.83
2.339,7,4,1,Standard,14.88
1.1,8,0,2,Standard,19.9
6.038,2,2,6,Standard,24.45
0.599,6,0,3,Standard,6.57
1.682,13,2,1,Standard,14.91
0.756,15,5,1,Express,6.43
19.871,12,5,3,Standard,24.27
5.837,11,2,5,Standard,11.35
3.876,20,5,4,Express,21.27
1.614,17,4,3,Standard,23.81
1.292,1,6,5,Standard,9.94
11.497,21,4,4,Standard,26.33
4.552,0,4,4,Standard,26.3
0.843,13,2,2,Standard,6.2
4.131,21,5,2,Standard,10.33
1.344,23,5,2,Standard,18.76
3.081,17,5,2,Standard,9.27
9.944,23,5,3,Standard,14.82
1.647,19,0,6,Standard,8.46
1.061,13,1,3,Standard,5.48
0.984,19,0,4,Express,8.09
4.475,10,3,2,Standard,9.04
2.09,0,4,2,Standard,12.58
5.093,21,3,6,Standard,19.16
0.487,8,3,6,Standard,10.37
20.795,14,3,6,Standard,19.09
1.502,18,2,3,Standard,14.16
1.32,19,2,3,Standard,14.45
0.395,8,2,3,Standard,3.84
2.772,20,0,3,Standard,20.88
0.728,20,5,4,Standard,2.77
3.285,18,5,2,Express,10.4
2.31,22,3,3,Express,17.52
3.139,20,2,1,Standard,14.04
1.603,8,1,3,Standard,7.11
1.685,8,1,2,Standard,17.53
4.734,20,5,2,Standard,20.41
9.221,10,0,4,Express,47.8
1.422,21,4,1,Standard,22.26
19.627,23,6,4,Standard,50.08
2.8,23,6,5,Standard,20.04
19.279,20,1,6,Standard,35.83
3.869,1,5,2,Standard,24.14
2.302,20,6,3,Express,22.04
5.077,22,2,5,Standard,9.85
0.312,18,1,6,Express,4.95
1.044,0,3,3,Standard,15.47
2.795,18,4,6,Express,9.04
1.644,17,4,3,Standard,11.74
2.207,10,0,2,Standard,6.19
1.106,12,0,6,Standard,30.63
10.699,13,6,1,Standard,18.19
1.2,11,3,4,Standard,11.14
1.154,19,5,5,Standard,7.9
0.767,14,3,4,Express,19.02
1.046,6,3,2,Standard,15.68
1.696,21,6,3,Standard,21.66
2.607,21,0,5,Standard,21.52
2.017,22,4,6,Express,13.21
3.427,17,3,2,Standard,11.82
2.265,12,2,2,Express,12.92
2.395,23,4,3,Standard,17.7
4.005,18,3,6,Standard,15.05
1.88,18,6,3,Standard,17.14
21.054,21,6,6,Standard,21.32
0.472,22,3,4,Express,14.98
8.015,19,6,3,Standard,15.81
4.063,5,2,1,Standard,30.1
1.211,3,4,1,Standard,6.34
1.396,5,1,5,Standard,21.58
4.424,1,6,3,Standard,17.52
1.238,1,3,1,Express,22.43
7.024,9,3,4,Standard,11.01
1.984,2,4,1,Standard,15.9
6.315,2,0,5,Standard,32.62
5.966,7,0,6,Express,18.06
1.621,10,2,6,Standard,5.91
8.46,23,0,6,Standard,14.19
2.826,13,4,4,Express,13.76
2.367,13,2,2,Standard,7.9
3.668,16,1,6,Standard,10.68
0.71,12,2,3,Standard,11.26
2.201,8,6,3,Standard,25.81
4.881,9,0,6,Standard,20.5
11.028,7,4,2,Express,44.55
1.141,0,6,5,Express,23.74
0.687,6,1,4,Express,10.0
2.073,11,5,3,Express,7.82
5.073,22,0,1,Standard,18.99
1.335,7,1,1,Express,31.79
2.252,13,2,3,Express,15.18
3.327,20,3,1,Express,12.09
1.498,8,1,5,Standard,16.64
0.907,17,5,1,Express,6.64
0.978,11,2,3,Standard,7.77
2.151,22,4,4,Standard,9.43
1.475,13,5,3,Standard,12.53
3.581,19,4,2,Standard,16.34
2.225,22,4,6,Standard,11.12
1.668,3,3,4,Standard,13.74
6.49,21,2,4,Standard,17.57
1.418,5,0,6,Standard,12.39
1.844,19,4,4,Standard,8.43
5.672,18,0,5,Standard,23.74
2.324,16,6,1,Standard,8.54
1.758,13,3,3,Standard,14.12
2.199,20,1,4,Express,29.12
1.656,1,4,1,Express,28.55
7.104,17,2,5,Standard,18.38
1.304,10,1,4,Standard,9.06
1.222,23,0,6,Standard,11.99
1.85,19,1,6,Standard,7.94
1.279,3,5,5,Standard,8.72
2.369,3,5,5,Standard,29.3
1.374,19,6,4,Standard,12.91
6.965,20,4,6,Standard,42.93
1.11,13,1,5,Standard,16.04
1.186,14,4,2,Express,9.96
2.565,14,2,3,Standard,19.9
1.134,11,4,3,Standard,17.6
1.904,15,3,2,Express,11.76
0.66,5,5,6,Standard,13.58
21.087,14,6,2,Standard,36.89
3.65,8,4,1,Standard,20.86
0.468,9,4,5,Express,16.87
1.799,6,5,2,Express,10.84
2.547,17,5,4,Express,15.54
1.145,14,5,3,Standard,11.48
1.714,6,1,6,Standard,14.8
3.741,22,1,2,Standard,14.03
1.447,5,2,1,Standard,14.35
3.411,13,4,4,Express,13.11
2.341,16,3,6,Standard,5.02
1.875,22,1,5,Express,10.68
8.747,15,4,4,Standard,9.01
0.91,2,5,4,Standard,14.83
2.371,18,5,1,Express,19.8
18.335,11,0,5,Express,36.7
3.048,22,0,5,Express,29.82
1.28,15,0,3,Standard,9.0
2.508,9,3,6,Express,8.01
2.44,20,3,2,Standard,9.25
1.266,19,0,5,Standard,7.04
0.736,6,2,3,Standard,25.47
1.392,17,1,1,Standard,10.59
0.359,19,4,4,Standard,3.34
0.37,0,2,6,Express,10.53
8.932,12,4,6,Standard,24.43
2.315,17,3,2,Standard,5.22
1.522,11,5,4,Standard,22.74
0.607,20,5,3,Express,8.33
1.133,13,1,3,Express,13.09
2.321,2,4,6,Express,19.38
0.313,11,1,5,Standard,2.31
2.401,11,1,2,Standard,10.43
2.664,19,2,2,Standard,19.07
2.318,14,6,1,Standard,9.83
